epoch	b	wa
1784718289	2	10
1784718290	1	9
1784718291	2	10
1784718292	2	10
1784718293	2	10
1784718294	2	12
1784718295	2	10
1784718296	2	10
1784718297	2	10
1784718298	2	10
1784718299	2	10
1784718300	2	11
1784718301	2	10
1784718302	2	9
1784718303	2	10
1784718304	3	13
1784718305	2	10
1784718306	2	10
1784718307	1	10
1784718308	2	10
1784718309	3	10
1784718310	2	10
1784718311	3	10
1784718312	2	13
1784718313	3	10
1784718314	3	13
1784718315	2	15
1784718316	2	10
1784718317	2	10
1784718318	2	9
1784718319	2	10
1784718320	2	8
1784718321	2	11
1784718322	3	11
1784718323	2	12
1784718324	2	9
1784718325	2	9
1784718326	2	10
1784718327	2	10
1784718328	2	10
1784718329	2	9
1784718330	2	10
1784718331	3	10
1784718332	2	12
1784718333	2	10
1784718334	3	13
1784718335	2	14
1784718336	5	21
1784718337	10	22
1784718338	6	30
1784718339	3	36
1784718340	2	14
1784718341	2	12
1784718342	3	12
1784718343	2	10
1784718344	4	11
1784718345	2	9
1784718346	2	7
1784718347	2	8
1784718348	2	7
1784718349	2	7
1784718350	2	8
1784718351	2	8
1784718352	2	8
1784718353	2	9
1784718355	2	9
1784718356	2	7
1784718357	2	7
1784718358	2	7
1784718359	2	9
1784718360	2	8
1784718361	2	7
1784718362	2	8
1784718363	2	7
1784718364	8	12
1784718365	3	22
1784718366	2	13
1784718367	2	10
1784718368	2	10
1784718369	2	9
1784718370	2	10
1784718371	2	10
1784718372	2	10
1784718373	3	13
1784718374	3	11
1784718375	2	11
1784718376	2	9
1784718377	2	10
1784718378	2	10
1784718379	2	10
1784718380	2	11
1784718381	2	9
1784718382	2	10
1784718383	2	9
1784718384	4	13
1784718385	2	12
1784718386	3	10
1784718387	3	10
1784718388	2	12
1784718389	3	10
1784718390	2	14
1784718391	2	10
1784718392	2	10
1784718393	2	10
1784718394	2	10
1784718395	2	10
1784718396	2	10
1784718397	2	10
1784718398	2	9
1784718399	2	10
1784718400	2	9
1784718401	2	10
1784718402	2	10
1784718403	1	9
1784718404	2	10
1784718405	2	10
1784718406	2	9
1784718407	2	10
1784718408	2	10
1784718409	2	10
1784718410	2	11
1784718411	3	11
1784718412	2	11
1784718413	2	10
1784718414	2	10
1784718415	2	9
1784718416	2	9
1784718417	2	9
1784718418	2	10
1784718419	2	10
1784718420	2	8
1784718421	3	12
1784718422	2	10
1784718423	2	10
1784718424	1	10
1784718425	2	10
1784718426	2	11
1784718427	3	11
1784718428	2	10
1784718429	2	10
1784718430	2	10
1784718431	2	10
1784718432	2	10
1784718433	1	10
1784718434	3	13
1784718435	2	9
1784718436	2	9
1784718437	2	10
1784718438	2	10
1784718439	2	10
1784718440	2	10
1784718442	2	10
1784718443	2	10
1784718444	2	10
1784718445	2	10
1784718446	2	9
1784718447	2	11
1784718448	2	14
1784718449	2	9
1784718450	2	10
1784718451	1	10
1784718452	1	9
1784718453	2	11
1784718454	2	8
1784718455	2	10
1784718456	2	10
1784718457	2	10
1784718458	2	9
1784718459	1	10
1784718460	2	10
1784718461	2	10
1784718462	2	9
1784718463	2	9
1784718464	2	10
1784718465	2	10
1784718466	1	9
1784718467	2	9
1784718468	2	10
1784718469	3	10
1784718470	2	10
1784718471	2	10
1784718472	2	10
1784718473	3	10
1784718474	2	11
1784718475	2	10
1784718476	2	10
1784718477	2	10
1784718478	2	10
1784718479	2	10
1784718480	3	11
1784718481	2	10
1784718482	2	9
1784718483	2	8
1784718484	2	10
1784718485	3	10
1784718486	2	10
1784718487	2	10
1784718488	2	10
1784718489	2	10
1784718490	1	10
1784718491	1	9
1784718492	3	10
1784718493	2	12
1784718494	3	12
1784718495	1	13
